year,name,wins,losses,Margin_of_Victory,True_Shooting_Percentage,Simple_Rating_System
2022,Orlando Magic,22,60,-8.00,.538,-7.67
2022,Oklahoma City Thunder,24,58,-8.10,.530,-7.90
2022,Houston Rockets,20,62,-8.48,.565,-8.26
2022,Portland Trail Blazers,27,55,-8.88,.550,-8.55
2022,League Average,,,0.00,.566,0.00
2023,Boston Celtics,57,25,6.52,.600,6.38
2023,Cleveland Cavaliers,51,31,5.38,.590,5.23
2023,Philadelphia 76ers,54,28,4.32,.608,4.37
2023,Memphis Grizzlies,51,31,3.94,.570,3.60
2023,Milwaukee Bucks,58,24,3.63,.583,3.61
2023,Denver Nuggets,53,29,3.33,.601,3.04
2023,New York Knicks,47,35,2.93,.577,2.99
2023,Sacramento Kings,48,34,2.65,.608,2.30
2023,Phoenix Suns,45,37,2.07,.570,2.08
2023,New Orleans Pelicans,42,40,1.89,.582,1.63
2023,Golden State Warriors,44,38,1.80,.600,1.66
2023,Toronto Raptors,41,41,1.48,.555,1.59
2023,Chicago Bulls,40,42,1.29,.587,1.37
2023,Oklahoma City Thunder,40,42,1.09,.570,0.96
2023,Brooklyn Nets,45,37,0.85,.598,1.03
2023,Los Angeles Lakers,43,39,0.57,.582,0.43
2023,Los Angeles Clippers,44,38,0.50,.588,0.31
2023,Atlanta Hawks,41,41,0.29,.579,0.32
2023,Dallas Mavericks,38,44,0.07,.599,-0.14
2023,Minnesota Timberwolves,42,40,-0.04,.592,-0.22
2023,Miami Heat,44,38,-0.32,.574,-0.13
2023,Utah Jazz,37,45,-0.94,.584,-1.03
2023,Washington Wizards,35,47,-1.21,.585,-1.06
